time_s,mass_g,relative_fraction
1.79969874e+03,7.84517500e+09,7.84517500e-01
1.81717155e+03,7.81788722e+09,7.81788722e-01
1.83464435e+03,7.79040760e+09,7.79040760e-01
1.85211715e+03,7.76273274e+09,7.76273274e-01
1.86958996e+03,7.73485913e+09,7.73485913e-01
1.88706276e+03,7.70678317e+09,7.70678317e-01
1.90453556e+03,7.67850114e+09,7.67850114e-01
1.92200837e+03,7.65000923e+09,7.65000923e-01
1.93948117e+03,7.62130348e+09,7.62130348e-01
1.95695397e+03,7.59237985e+09,7.59237985e-01
1.97442678e+03,7.56323415e+09,7.56323415e-01
1.99189958e+03,7.53386207e+09,7.53386207e-01
2.00937238e+03,7.50425916e+09,7.50425916e-01
2.02684519e+03,7.47442084e+09,7.47442084e-01
2.04431799e+03,7.44434236e+09,7.44434236e-01
2.06179079e+03,7.41401884e+09,7.41401884e-01
2.07926360e+03,7.38344522e+09,7.38344522e-01
2.09673640e+03,7.35261628e+09,7.35261628e-01
2.11420921e+03,7.32152662e+09,7.32152662e-01
2.13168201e+03,7.29017066e+09,7.29017066e-01
2.14915481e+03,7.25854263e+09,7.25854263e-01
2.16662762e+03,7.22663653e+09,7.22663653e-01
2.18410042e+03,7.19444619e+09,7.19444619e-01
2.20157322e+03,7.16196518e+09,7.16196518e-01
2.21904603e+03,7.12918684e+09,7.12918684e-01
2.23651883e+03,7.09610429e+09,7.09610429e-01
2.25399163e+03,7.06271037e+09,7.06271037e-01
2.27146444e+03,7.02899763e+09,7.02899763e-01
2.28893724e+03,6.99495837e+09,6.99495837e-01
2.30641004e+03,6.96058456e+09,6.96058456e-01
2.32388285e+03,6.92586785e+09,6.92586785e-01
2.34135565e+03,6.89079956e+09,6.89079956e-01
2.35882845e+03,6.85537066e+09,6.85537066e-01
2.37630126e+03,6.81957173e+09,6.81957173e-01
2.39377406e+03,6.78339295e+09,6.78339295e-01
2.41124686e+03,6.74682408e+09,6.74682408e-01
2.42871967e+03,6.70985444e+09,6.70985444e-01
2.44619247e+03,6.67247286e+09,6.67247286e-01
2.46366527e+03,6.63466767e+09,6.63466767e-01
2.48113808e+03,6.59642666e+09,6.59642666e-01
2.49861088e+03,6.55773705e+09,6.55773705e-01
2.51608368e+03,6.51858545e+09,6.51858545e-01
2.53355649e+03,6.47895781e+09,6.47895781e-01
2.55102929e+03,6.43883940e+09,6.43883940e-01
2.56850209e+03,6.39821472e+09,6.39821472e-01
2.58597490e+03,6.35706751e+09,6.35706751e-01
2.60344770e+03,6.31538062e+09,6.31538062e-01
2.62092050e+03,6.27313601e+09,6.27313601e-01
2.63839331e+03,6.23031463e+09,6.23031463e-01
2.65586611e+03,6.18689639e+09,6.18689639e-01
2.67333891e+03,6.14286005e+09,6.14286005e-01
2.69081172e+03,6.09818313e+09,6.09818313e-01
2.70828452e+03,6.05284180e+09,6.05284180e-01
2.72575732e+03,6.00681080e+09,6.00681080e-01
2.74323013e+03,5.96006330e+09,5.96006330e-01
2.76070293e+03,5.91257073e+09,5.91257073e-01
2.77817573e+03,5.86430270e+09,5.86430270e-01
2.79564854e+03,5.81522673e+09,5.81522673e-01
2.81312134e+03,5.76530816e+09,5.76530816e-01
2.83059414e+03,5.71450985e+09,5.71450985e-01
2.84806695e+03,5.66279200e+09,5.66279200e-01
2.86553975e+03,5.61011181e+09,5.61011181e-01
2.88301255e+03,5.55642323e+09,5.55642323e-01
2.90048536e+03,5.50167659e+09,5.50167659e-01
2.91795816e+03,5.44581814e+09,5.44581814e-01
2.93543096e+03,5.38878968e+09,5.38878968e-01
2.95290377e+03,5.33052793e+09,5.33052793e-01
2.97037657e+03,5.27096397e+09,5.27096397e-01
2.98784937e+03,5.21002251e+09,5.21002251e-01
3.00532218e+03,5.14762103e+09,5.14762103e-01
